Solvent,InChIKey,Volume,dD,dP,dH,δt
Formamide,ZHNUHDYFZUAESO-UHFFFAOYSA-N,39.8,17.2,26.2,19,36.6
FormicAcid,BDAGIHXWWSANSR-UHFFFAOYSA-N,37.8,14.3,11.9,16.6,25
Furan,YLQBMQCUIZJEEH-UHFFFAOYSA-N,72.5,17.8,1.8,5.3,18.6
FurfurylAlcohol,XPFVYQJUAUNWIW-UHFFFAOYSA-N,86.5,17.4,7.6,15.1,24.3
GammaButyrolactone,YEJRWHAVMIAJKC-UHFFFAOYSA-N,76.5,18,16.6,7.4,25.5796794350516
Heptane,IMNFDUFMRHMDMM-UHFFFAOYSA-N,147,15.3,0,0,15.3
Hexadecafluoroheptane,LGUZHRODIJCVOC-UHFFFAOYSA-N,227.3,12.1,0,0,12.1
Hexamethylphosphoramide,GNOIPBMMFNIUFM-UHFFFAOYSA-N,175.7,18.4,8.6,11.3,23.3
Hexane,VLKZOEOYAKHREP-UHFFFAOYSA-N,131.4,14.9,0,0,14.9
IsobutylAcetate,GJRQTCIYDGXPES-UHFFFAOYSA-N,133.5,15.1,3.7,6.3,16.8
IsobutylIsobutyrate,RXGUIWHIADMCFC-UHFFFAOYSA-N,169.8,15.1,2.8,5.8,16.4161505841047
IsopentylAcetate,MLFHJEHSLIIPHL-UHFFFAOYSA-N,148.8,15.3,3.1,7,17.2
Isophorone,HJOVHMDZYOCNQW-UHFFFAOYSA-N,150.5,16.6,8.2,7.4,19.8
IsopropylAcetate,JMMWKPVZQRWMSS-UHFFFAOYSA-N,117.1,14.9,4.5,8.2,17.5926120857592
IsopropylPalmitate,XUGNVMKQXJXZCD-UHFFFAOYSA-N,330,14.3,3.9,3.7,15.3
MCresol,RLSSMJSEOOYNOY-UHFFFAOYSA-N,105,18.5,6.5,13.7,23.92049330595
Mesitylene,AUHZEENZYGFFBQ-UHFFFAOYSA-N,139.8,18,0,0.6,18
MesitylOxide,SHOJXDKTYKFBRD-UHFFFAOYSA-N,115.6,16.4,7.2,6.1,18.8
Methanol,OKKJLVBELUTLKV-UHFFFAOYSA-N,40.7,15.1,12.3,22.3,29.7
MethylAcetate,KXKVLQRXCPHEJC-UHFFFAOYSA-N,79.7,15.5,7.2,7.6,18.8
