old_name,InChIKey,Volume,dD,dP,dH,δt,Solvent,CHO
Cyclohexylamine,PAFZNILMFXTMIY-UHFFFAOYSA-N,115.2,17.4,3.1,6.5,18.8,Cyclohexylamine,False
Dibutyl Phthalate,DOIRQSBPFJWKBE-UHFFFAOYSA-N,266.0,17.8,8.6,4.1,20.3,Dibutyl phthalate,True
Dibutyl Sebacate,PYGXAGIECVVIOZ-UHFFFAOYSA-N,339.0,13.9,4.5,4.1,16.2,Dibutyl sebacate,True
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,75.4,15.8,3.1,5.7,17.0,Dichlorofluoromethane,False
Dichlorofluoromethane,UMNKXPULIDJLSU-UHFFFAOYSA-N,92.3,12.3,2.0,0.0,12.5,Dichlorofluoromethane,False
Dichloromethane,YMWUJEATGCHHMB-UHFFFAOYSA-N,63.9,18.2,6.3,6.1,20.3,Dichloromethane,False
Diethylamine,HPNMFZURTQLUMO-UHFFFAOYSA-N,103.2,14.9,2.3,6.1,16.4,Diethylamine,False
Diethyl Carbonate,OIFBSDVPJOWBCH-UHFFFAOYSA-N,121.0,16.6,3.1,6.1,18.0,Diethyl carbonate,True
Diethylene Glycol Butyl Ether,OAYXUHPQHDHDDZ-UHFFFAOYSA-N,170.6,16.0,7.0,10.6,20.5,Diethylene glycol butyl ether,True
Diethylene Glycol Dimethyl Ether,SBZXBUIDTXKZTM-UHFFFAOYSA-N,142.0,15.8,6.1,9.2,19.2,Diethylene glycol dimethyl ether,True
Diethylene Glycol Methyl Ether,SBASXUCJHJRPEV-UHFFFAOYSA-N,118.0,16.2,7.8,12.7,21.9,Diethylene glycol methyl ether,True
Diethylene Glycol Monoethyl Ether,XXJWXESWEXIICW-UHFFFAOYSA-N,130.9,16.2,9.2,12.3,22.3,Diethylene glycol monoethyl ether,True
Diethylenetriamine,RPNUMPOLZDHAAY-UHFFFAOYSA-N,108.0,16.8,13.3,14.3,25.8,Diethylenetriamine,False
Diethyl Ether,RTZKZFJDLAIYFH-UHFFFAOYSA-N,104.8,14.5,2.9,5.1,15.8,Diethyl ether,True
Diethyl Phthalate,FLKPEMZONWLCSK-UHFFFAOYSA-N,198.0,17.6,9.6,4.5,20.5,Diethyl phthalate,True
Diethyl Sulfate,DENRZWYUOJLTMF-UHFFFAOYSA-N,131.5,15.8,14.7,7.2,22.7,Diethyl sulfate,False
Diethyl Sulfide,LJSQFQKUNVCTIA-UHFFFAOYSA-N,108.2,17.0,3.1,2.0,17.4,Diethyl sulfide,False
Diisopropyl Ether,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,141.8,15.1,3.2,3.2,15.7635655865036,Diisopropyl ether,True
Dimethyl Phthalate,NIQCNGHVCWTJSM-UHFFFAOYSA-N,163.0,18.6,10.8,4.9,22.1,Dimethyl phthalate,True
