No.,Formula,Solvent,Name (French),CAS,Hansen Set,Green Set,dD,dP,dH,CMR,I_low,T_b,CHO
23,C3H6O3,β-Lactic acid,Acide β-lactique,503-66-2,X,X,16.8,9.6,25.3,-,5,263,True
24,C3H7NO2,"N,N-Dimethyl formamide","N,N-Diméthyl formamide",68-12-2,X,,17.4,13.7,11.3,1B,4,153,False
25,C3H7NO2,2-Nitropropane,2-Nitropropane,79-46-9,X,,16.2,12.1,4.1,1B,4,120,False
26,C3H8O,1-Propanol,1-Propan-1-ol,71-23-8,X,,16,6.8,17.4,-,4,97,True
27,C3H8O,Isopropanol,Propan-2-ol,67-63-0,X,,15.8,6.1,16.4,-,5,82,True
28,C3H8O2,"1,3-Propanediol","Propane-1,3-diol",504-63-2,X,X,16.8,13.5,23.2,-,4,214,True
29,C3H8O2,Propylene glycol,Propylène glycol,57-55-6,X,X,16.8,10.4,21.3,-,6,188,True
30,C3H8O2,2-Methoxyethanol,2-Méthoxyéthanol,109-86-4,X,,16,8.2,15,1B,4,125,True
31,C3H8O2,Methylal,Methylal,109-87-5,X,,15,1.8,8.6,-,5,42,True
32,C3H8O3,Glycerol,Glycérol,56-81-5,X,X,17.4,11.3,27.2,-,5,290,True
33,C4H4O,Furan,Furane,110-00-9,X,,17,1.8,5.3,1B,4,31,True
34,C4H6O2,γ-Butyrolactone,γ-Butyrolactone,96-48-0,X,X,18,16.6,7.4,-,4,204,True
35,C4H6O3,Propylene carbonate,Carbonate de propylène,108-32-7,X,X,20,18,4.1,-,4,242,True
36,C4H6O3,Acetic anhydride,Anhydride acétique,108-24-7,X,,16,11.7,10.2,-,4,140,True
37,C4H6O4,Glycerol carbonate,Carbonate de glycérol,931-40-8,X,X,17.9,25.5,17.4,-,5,354,True
38,C4H7N,Butyronitrile,Butyronitrile,109-74-0,X,,15.3,12.4,5.1,-,2,118,False
39,C4H7NO2,2-Pyrrolidinone,2-Pyrrolidinone,616-45-5,X,,18.2,12,9,-,4,245,False
40,C4H8Cl2O,Di-(2-chloroethyl) ether,Di-(2-Chloroethyl) ether,111-44-4,X,,18.8,9,5.7,2,3,179,False
41,C4H8O,Tetrahydrofuran,Tétrahydrofurane,109-99-9,X,,16.8,5.7,8,-,4,66,True
42,C4H8O,Butan-2-one,Butan-2-one,78-93-3,X,,16,9,5.1,-,4,80,True
43,C4H8O2,"1,4-Dioxane","1,4-Dioxane",123-91-1,X,,17.5,1.8,9,2,4,101,True
44,C4H8O2,Butyric acid,Acide butyrique,107-92-6,X,,15.7,4.8,12,-,4,164,True
45,C4H8O2,Ethyl acetate,Acétate d'éthyle,141-78-6,X,,15.8,5.3,7.2,-,5,77,True
46,C4H8O3,"1,3-Dioxan-5-ol","1,3-Dioxan-5-ol",4740-78-7,X,,18.4,10.6,16.5,-,5,194,True
47,C4H8O3,"1,3-Dioxolane-4-methanol","1,3-Dioxolane-4-méthanol",5464-28-8,X,,18.4,10.6,16.5,-,5,193,True
48,C4H9Cl,1-Chlorobutane,1-Chlorobutane,109-69-3,X,,16.2,5.5,2,-,4,78,False
49,C4H9NO,Morpholine,Morpholine,110-91-8,X,,18,4.9,11,-,4,129,False
50,C4H10S,Diethyl sulfide,Sulfure de diéthyle,352-93-2,X,,16.8,3.1,2,-,4,92,False
51,C4H10O,Butan-1-ol,Butan-1-ol,71-36-3,X,,16,5.7,15.8,-,4,118,True
52,C4H10O,Diethyl ether,Éther diéthylique,60-29-7,X,,14.5,2.9,4.6,-,4,34,True
53,C4H10O2,"1,3-Butanediol","1,3-Butanediol",107-88-0,X,,16.5,8.1,20.9,-,6,208,True
54,C4H10O2,2-Ethoxyethanol,2-Éthoxyéthanol,110-80-5,X,,15.9,7.2,14,1B,4,136,True
55,C4H10O3,Diethylene glycol,Diéthylène glycol,111-46-6,X,,16.6,12,19,-,5,246,True
56,C4H10O3,"3-Methoxypropane-1,2-diol","3-Méthoxypropane-1,2-diol",623-39-2,X,,16.2,9.7,18.8,-,4,220,True
57,C4H10O3,"2-Methoxypropane-1,3-diol","2-Méthoxypropane-1,3-diol",761-06-8,X,,16.3,10.1,23.7,-,5,232,True
58,C4H11N,"N,N-Diethylamine","N,N-Diéthylamine",109-89-7,X,,14.9,2.3,6.1,-,4,56,False
59,C5H4O2,Furfural,Furfural,98-01-1,X,,18.6,14.9,5.1,2,3,162,True
60,C5H5N,Pyridine,Pyridine,110-86-1,X,,19,8.8,5.9,-,4,115,False
61,C5H6O2,Furfuryl alcohol,Alcool furfurylique,98-00-0,X,,17.4,7.6,15.1,2,3,170,True
62,C5H8O2,γ-Valerolactone,γ-Valérolactone,108-29-2,X,,17.1,11.9,6.2,-,5,187,True
63,C5H10N2O,"N,N'-Dimethylethylurea","N,N'-Diméthyléthylurée",80-73-9,X,,17.6,10.5,9.1,-,4,227,False
64,C5H10O,2-Methyltetrahydrofuran,2-Méthyl tétrahydrofurane,96-47-9,X,,16.9,5,4.3,-,5,80,True
65,C5H10O2,Tetrahydrofurfuryl alcohol,Alcool tétrahydrofurfurylique,97-99-4,X,,17.8,8.2,12.9,-,4,178,True
66,C5H10O2,n-Propyl acetate,Acétate de n-propyle,109-60-4,X,,15.3,4.3,7.6,-,5,102,True
67,C5H10O3,Ethyl lactate,Lactate d'éthyle,97-64-3,X,,16,7.6,12.5,-,5,155,True
68,C5H12O,Pentan-1-ol,Pentan-1-ol,71-41-0,X,,15.9,5.9,13.9,-,4,138,True
69,C5H12O,Isopentyl alcohol,Alcool isoamylique,123-51-3,X,,15.8,5.2,13.3,-,4,131,True
70,C5H12O3,2-Ethoxyglycerol,2-Éthoxyglycerol,22598-16-9,X,,16.2,9.1,20.1,-,5,229,True
71,C5H12O3,"3-Ethoxypropane-1,2-diol","3-Éthoxypropane-1,2-diol",1874-62-0,X,,16.1,8.7,15.9,-,4,241,True
72,C5H12O3,Methyldiglycol,Méthyldiglycol,111-77-3,X,,16.2,7.8,12.6,2,2,194,True
73,C5H12O3,"2,3-Dimethoxypropane-1-ol","2,3-Diméthoxypropane-1-ol",40453-77-8,X,,15.8,7.5,15.5,-,5,180,True
74,C5H12O3,"1,3-Dimethoxypropane-2-ol","1,3-Diméthoxypropane-2-ol",623-69-8,X,,15.8,8,12.5,-,5,173,True
