No,old_name,Solvent,CAS,dD,dP,dH,Tb,CHO
149,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol",1988-06-02,20.3,5.1,10.8,,False
150,"2,4-Dichloro-3-Fluoronitrobenzene","2,4-Dichloro-3-fluoronitrobenzene",393-79-3,19.9,7.2,4.2,,False
151,"2,4-Dichloro-5-Nitrobenzotrifluoride","2,4-Dichloro-5-nitrobenzotrifluoride",400-70-4,19.9,7.6,3.7,,False
152,"2,4-Dichloroaniline","2,4-Dichloroaniline",554-00-7,20.9,6.2,10,,False
153,"2,4-Dichlorobenzaldehyde","2,4-Dichlorobenzaldehyde",874-42-0,19.7,8.8,5.4,,False
154,"2,4-Dichloronitrobenzene","2,4-Dichloronitrobenzene",0611-06-03,20.4,8.7,4.2,,False
155,"2,4-Dichlorophenol","2,4-Dichlorophenol",120-83-2,20,7.2,13.1,,False
156,"2,4-Difluoronitrobenzene","2,4-Difluoronitrobenzene",446-35-5,19.4,11,3.7,,False
157,"2,4-Dimethylaniline","2,4-Dimethylaniline",95-68-1,19.2,5.2,8.7,,False
158,"2,4-Dinitrotoluene","2,4-Dinitrotoluene",121-14-2,20,13.1,4.9,,False
159,"2,5-Dichlorobenzotrifluoride","2,5-Dichlorobenzotrifluoride",320-50-3,20,4.7,2.4,,False
160,"2,5-Dichlorophenol","2,5-Dichlorophenol",583-78-8,20,6.3,12.1,,False
161,"2,5-Diethoxy Tetrahydrofuran","2,5-Diethoxytetrahydrofuran",3320-90-9,16.6,6.4,7.3,,True
162,"2,5-Dimethoxytetrahydrofuran","2,5-Dimethoxytetrahydrofuran",696-59-3,16.8,7.2,8.2,,True
163,"2,5-Dimethyl Pyrrole","2,5-Dimethylpyrrole",625-84-3,18.3,7.6,6.8,,False
164,"2,5-Tetrahydrofuran Dimethanol","2,5-Tetrahydrofuran dimethanol",104-80-3,17.9,8.5,18.9,,True
165,"2,6-Dichloro-7-Methyl Purine","2,6-Dichloro-7-methylpurine",2273-93-0,20.5,11.7,14.2,,False
166,"2,6-Dichloroanisole","2,6-Dichloroanisole",1984-65-2,19.8,8.4,6.5,,False
167,"2,6-Dichlorophenol","2,6-Dichlorophenol",87-65-0,20.1,7.5,10.9,,False
168,"2,6-Difluorobenzonitrile","2,6-Difluorobenzonitrile",1897-52-5,18.8,11.2,3.2,,False
169,"2,6-Dimethoxy Phenol","2,6-Dimethoxyphenol",1991-10-01,19.3,7.6,13.7,,True
170,"2,6-Dimethyl Phenol","2,6-Dimethylphenol",576-26-1,19.1,4.9,12.9,,True
171,2-(Diethylamino)Ethanol,2-(Diethylamino)ethanol,100-37-8,15.7,5.8,12,,True
172,2-Acetyl Thiophene,2-Acetylthiophene,88-15-3,19.1,12.2,9.3,,False
173,2-Amino Pyridine,2-Aminopyridine,504-29-0,20.4,8.1,12.2,,False
174,2-Bromo Allyl Alcohol,2-Bromoallyl alcohol,598-19-6,17.1,9.9,16.2,,False
175,2-Bromo Propene,2-Bromopropene,557-93-7,16.1,6,4.9,,False
176,2-Bromobutane,2-Bromobutane,78-76-2,16.3,7.7,4.4,,False
177,2-Bromopropane,2-Bromopropane,75-26-3,15.5,8.3,4.7,,False
178,2-Bromothiophene,2-Bromothiophene,1003-09-04,20.1,5.2,4.6,,False
179,2-Butanol,2-Butanol,78-92-2,15.8,5.7,14.5,,True
180,2-Butene (Cis),cis-2-Butene,590-18-1,14.7,1.3,4.1,,False
181,2-Butene (Trans),trans-2-Butene,624-64-6,14.6,0,2.9,,False
182,2-Butenyl Methyl Ether (Cis),cis-2-Butenyl methyl ether,25125-85-3,15.2,3.4,5,,True
183,2-Butenyl Methyl Ether (Trans),trans-2-Butenyl methyl ether,10034-14-7,15.3,4.4,4.3,,True
184,2-Butynedinitrile,2-Butynedinitrile,1071-98-3,15.2,16.2,8,,False
185,2-Chloro Allyl Alcohol,2-Chloroallyl alcohol,5976-47-6,17.1,10.2,16.4,,False
186,2-Chloro Propene (Isopropenyl Chloride),2-Chloropropene (Isopropenyl chloride),557-98-2,15.5,6.7,2.2,,False
187,2-Chloro-2-Methyl Propane,2-Chloro-2-methylpropane,507-20-0,15.6,7.6,2,,False
188,2-Chloro-4-Methylaniline,2-Chloro-4-methylaniline,615-65-6,19.7,7.4,8.9,,False
189,2-Chloro-5-Methyl Phenol,2-Chloro-5-methylphenol,615-74-7,19,7.7,13.1,,True
190,2-Chloroacetamide,2-Chloroacetamide,1979-07-02,17.6,12.4,12.8,,False
191,2-Chloroallylidene Diacetate,2-Chloroallylidene diacetate,5459-90-5,16.7,7.3,8.8,,True
192,2-Chlorobutane,2-Chlorobutane,78-86-4,15.8,7.6,2,,False
193,2-Chlorocyclohexanone,2-Chlorocyclohexanone,822-87-7,18.5,13,5.1,,False
194,2-Chloroethyl Acetate,2-Chloroethyl acetate,542-58-5,16.7,9.6,8.8,,True
195,2-Chloroethyl Benzene,2-Chloroethylbenzene,622-24-2,19.3,6.3,2.2,,False
196,2-Chloroethyl Ethyl Ether,2-Chloroethyl ethyl ether,628-34-2,16.3,7.9,4.6,,True
197,2-Chloroethyl Ethyl Sulfide,2-Chloroethyl ethyl sulfide,0693-07-02,17.2,5,6.1,,False
198,2-Chlorophenol,2-Chlorophenol,95-57-8,19,5.5,13.9,,True
199,2-Chloropropenal,2-Chloropropenal,683-51-2,17.1,12.9,8.1,,False
200,2-Chloropropenoic Acid,2-Chloropropenoic acid,598-79-8,19.1,9.4,12.4,,False
201,2-Chlorothiophene,2-Chlorothiophene,96-43-5,19.2,6.2,8,,False
202,2-Cyclopentenyl Alcohol,2-Cyclopentenyl alcohol,3212-60-0,18.1,7.6,15.6,,True
203,2-Decanol,2-Decanol,1120-06-05,15.8,3.9,10,,True
204,2-Ethyl Croton Aldehyde,2-Ethylcrotonaldehyde,19780-25-7,16.1,8,5.5,,True
205,2-Ethyl Hexyl Acetate,2-Ethylhexyl acetate,0103-09-03,15.8,2.9,5.1,,True
206,2-Ethyl Hexyl Acrylate,2-Ethylhexyl acrylate,0103-11-07,15.3,4.3,3,,True
207,2-Ethyl Hexyl Phthalate (Mono),2-Ethylhexyl phthalate (Mono)(MEHP),4376-20-9,17.3,6.2,6.8,,True
208,"2-Ethyl-1,3-Butadiene","2-Ethyl-1,3-butadiene",3404-63-5,15.3,1.6,3.8,,False
209,2-Ethyl-1-Butanol,2-Ethyl-1-butanol,97-95-0,15.8,4.3,13.5,,True
210,2-Ethyl-1-Butene,2-Ethyl-1-butene,760-21-4,14.9,1.7,3.5,,False
211,2-Ethyl-Hexanol,2-Ethylhexanol,104-76-7,15.9,3.3,11.8,,True
212,2-Ethylhexyl Amine,2-Ethylhexylamine,20352-67-4,15.7,4.2,6.1,,False
213,2-Furonitrile,2-Furonitrile,617-90-3,18.4,15,8.2,,False
214,2-Heptanol,2-Heptanol,543-49-7,15.7,5.4,11.7,,True
215,2-Methoxy Tetrahydropyrane,2-Methoxytetrahydropyran,6581-66-4,17.2,6.6,6,,True
216,"2-Methoxy-1,3-Dioxolane","2-Methoxy-1,3-dioxolane",19693-75-5,17.8,8.4,7.7,,True
217,2-Methyl (Cis) Acrylic Acid,cis-2-Methylacrylic acid,503-64-0,16.8,5.2,12.4,,True
218,2-Methyl Cyclohexanol (Mix),2-Methylcyclohexanol (Mix),583-59-5,17.1,6.5,12.5,,True
219,2-Methyl Cyclohexanone,2-Methylcyclohexanone,583-60-8,17.6,7.8,4.7,,True
220,2-Methyl Pyrazine,2-Methylpyrazine,109-08-0,18.3,12.3,10.5,,False
221,2-Methyl Tetrahydrofuran,2-Methyltetrahydrofuran (2-MeTHF),96-47-9,16.9,5,4.3,,True
222,"2-Methyl-1,3-Dioxolane","2-Methyl-1,3-dioxolane",497-26-7,17.3,4.8,5.8,,True
223,2-Methyl-1-Butanol,2-Methyl-1-butanol,137-32-6,16,5.1,14.3,,True
224,2-Methyl-1-Butene,2-Methyl-1-butene,563-46-2,14.5,1.8,1.3,,False
225,2-Methyl-1-Chloro Acrolein,2-Methyl-1-chloroacrolein,53175-28-3,17.1,10.6,7.3,,False
226,2-Methyl-1-Pentanol,2-Methyl-1-pentanol,105-30-6,15.8,4.9,13.5,,True
227,2-Methyl-2-Butanol,2-Methyl-2-butanol,75-85-4,15.3,6.1,13.3,,True
