old_name,dD,dP,dH,Solvents,CHO
cyclohexane,16.8,0,0.2,Cyclohexane,TRUE
cyclohexanol,17.4,4.1,13.5,Cyclohexanol,TRUE
cyclohexanone,17.8,6.3,5.1,Cyclohexanone,TRUE
d-limonene,17.2,1.8,4.3,d-Limonene,TRUE
decanol,17.6,2.7,10,Decanol,TRUE
dibenzyl ether,17.4,3.7,7.4,Dibenzyl ether,TRUE
dibutyl (2Z)-2-butenedioate,15.4,3.1,7.2,Dibutyl (2Z)-2-butenedioate,TRUE
dibutyl ether,14.4,2.9,5.1,Dibutyl ether,TRUE
dibutyl phthalate,16.8,8.6,4.1,Dibutyl phthalate,TRUE
dichloromethane,18.2,6.3,6.1,Dichloromethane,FALSE
diethyl carbonate,16.6,3.1,6.1,Diethyl carbonate,TRUE
diethyl ether,14.5,2.9,5.1,Diethyl ether,TRUE
diethyl sulfide,16.9,3.1,2.1,Diethyl sulfide,FALSE
diethyl sulphate,15.8,14.7,7.2,Diethyl sulphate,FALSE
diethylamine,15,2.3,6.2,Diethylamine,FALSE
diethylene glycol,16.1,14.7,20.5,Diethylene glycol,TRUE
diisopropyl ether,15.2,3.3,3.3,Diisopropyl ether,TRUE
dimethoxymethane,15.1,1.8,8.6,Dimethoxymethane,TRUE
dimethyl carbonate,17.4,9.6,3.9,Dimethyl carbonate,TRUE
dimethyl hexanedioate,16.9,4.3,9.2,Dimethyl hexanedioate,TRUE
dimethyl phthalate,18.6,10.8,4.9,Dimethyl phthalate,TRUE
dimethyl sulfoxide,18.5,16.4,10.2,Dimethyl sulfoxide,FALSE
dioxane,19.1,1.8,7.4,Dioxane,TRUE
dipropylamine,15.4,1.4,4.1,Dipropylamine,FALSE
dodecane,16,0,0,Dodecane,TRUE
ethanediol,16.9,11,26.1,Ethanediol,TRUE
ethanethiol,15.8,6.6,7.2,Ethanethiol,FALSE
ethanol,15.8,8.8,19.4,Ethanol,TRUE
ethyl 2-hydroxypropanoate,16,7.6,12.5,Ethyl 2-hydroxypropanoate,TRUE
ethyl 3-ethoxypropanoate,16.2,3.3,8.8,Ethyl 3-ethoxypropanoate,TRUE
ethyl acetate,15.8,5.3,7.2,Ethyl acetate,TRUE
ethyl formate,15.5,7.2,7.6,Ethyl formate,TRUE
ethylbenzene,17.8,0.6,1.4,Ethylbenzene,TRUE
formamide,17.2,26.3,19,Formamide,FALSE
formic acid,14.4,11.9,16.6,Formic acid,TRUE
furan,17.8,1.8,5.3,Furan,TRUE
heptane,15.3,0,0,Heptane,TRUE
hexane,14.9,0,0,Hexane,TRUE
