"Solvent","V (cm3/mol)","dD","dP","dH","dT","CHO"
"Diethylamine",103.20,14.90,2.30,6.10,16.26,False
"Di-n-propylamine",136.90,15.30,1.40,4.10,15.90,False
"Diisopropylamine",136.90,15.30,1.40,4.10,15.90,False
"Di-n-butylamine",170.00,15.00,3.00,4.30,15.89,False
"Trimethylamine",90.30,14.60,3.40,1.80,15.10,False
"Ethylenediamine",67.30,16.60,8.80,17.00,25.34,False
"Aniline",91.50,19.40,5.10,10.20,22.50,False
"N-Methylaniline",108.40,19.50,6.00,11.50,23.42,False
"Dimethylaniline",123.70,19.20,5.20,8.70,21.71,False
"Ethanolamine",59.80,17.00,15.50,21.20,31.28,False
"Triethanolamine",133.20,17.30,22.40,23.30,36.66,False
"Benzylamine",109.20,19.20,4.60,11.70,22.95,False
"Cyclohexylamine",113.80,17.20,3.10,6.50,18.65,False
"Allylamine",74.90,15.50,5.70,10.60,19.62,False
"Carbon disulfide",60.00,20.50,0.00,0.60,20.51,False
"N,N-Dimethyl sulfoxide",71.30,18.40,16.40,10.20,26.68,False
"Dimethyl sulfide",88.60,17.30,7.80,6.50,20.06,False
"Diethyl sulfide",107.40,16.80,3.10,2.00,17.20,False
"Furfural",83.20,18.60,14.90,5.10,24.37,True
"Thiophene",79.00,18.90,2.40,7.80,20.59,False
"Pyridine",80.90,19.00,8.80,5.90,21.75,False
"2-Methylpyridine",98.00,17.93,8.60,3.80,20.24,False
"Pyridazine",72.60,20.20,17.40,11.70,29.12,False
"Piperidine",98.90,17.60,4.50,8.90,20.23,False
"Quinoline",118.00,19.40,7.00,7.60,21.98,False
"Pyrrole",69.20,19.20,7.40,6.70,21.64,False
"Pyrrolidine",83.50,17.90,6.50,7.40,20.43,False
"Methanethiol",54.10,16.60,7.70,8.60,20.22,False
"Ethanethiol (ethyl mercaptan)",74.30,15.70,6.50,7.10,18.42,False
"1-Propanethiol",90.50,16.10,5.80,5.70,18.04,False
"2-Propanethiol",94.10,16.30,6.80,6.50,18.82,False
"1-Butanethiol",107.80,16.30,5.30,4.50,17.72,False
"Benzenethiol",102.40,20.00,4.50,10.30,22.94,False
"Acetic anhydride",94.50,16.00,11.70,10.20,22.29,True
"Formic acid",37.80,14.30,11.90,16.60,24.93,True
"Acetic acid",57.10,14.50,8.00,13.50,21.37,True
"Propanoic acid",75.00,14.70,5.30,12.40,19.95,True
"Butanoic acid",110.00,14.90,4.10,10.60,18.74,True
"Pentanoic acid",109.20,15.00,4.10,10.30,18.65,True
"iso-Pentanoic acid",111.00,16.40,4.10,10.70,20.01,True
"Dichloroacetic acid",82.50,18.20,8.10,12.20,23.36,False
"Pentane",116.20,14.50,0.00,0.00,14.50,True
"iso-Pentane",116.46,13.70,0.00,0.00,13.70,True
"Hexane",131.40,14.90,0.00,0.00,14.90,True
"Heptane",147.40,15.30,0.00,0.00,15.30,True
"2,2,4-Trimethylpentane",165.10,14.10,0.00,0.00,14.10,True
"Octane",163.50,15.50,0.00,0.00,15.50,True
"Nonane",179.67,15.70,0.00,0.00,15.70,True
"Decane",195.90,15.70,0.00,0.00,15.70,True
"Undecane",212.70,16.00,0.00,0.00,16.00,True
"Dodecane",228.60,16.00,0.00,0.00,16.00,True
"Tetradecane",261.30,16.20,0.00,0.00,16.20,True
"Hexadecane",294.10,16.30,0.00,0.00,16.30,True
"Octadecane",326.90,16.40,0.00,0.00,16.40,True
"Eicosane",363.70,16.50,0.00,0.00,16.50,True
"Cyclopentane",94.90,16.40,0.00,1.80,16.50,True
"Cyclohexane",108.70,16.80,0.00,0.20,16.80,True
"Methylcyclohexane",128.30,16.00,0.00,1.00,16.03,True
